Opened the webpage: 2024-08-05 18:14:28
Page loaded: 2024-08-05 18:14:28
District folder '07 अमरावती' created or already exists: 2024-08-05 18:14:34
Taluka folder '10 भातकुली' created or already exists: 2024-08-05 18:14:35
Plot info: {'Survey No.': '1', 'Total Area': '12.9500', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:14:41
Timeout waiting for plot info update on attempt 1/1: 2024-08-05 18:15:01
Plot info: {'Survey No.': '10/2', 'Total Area': '1.9800', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:01
Plot info: {'Survey No.': '11', 'Total Area': '0.4000', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:03
Plot info: {'Survey No.': '12', 'Total Area': '1.1800', 'Pot kharaba': '0.0300', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:04
Plot info: {'Survey No.': '13', 'Total Area': '1.2200', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:05
Plot info: {'Survey No.': '14/2/ब', 'Total Area': '1.0000', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:05
Plot info: {'Survey No.': '15/3', 'Total Area': '1.6200', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:07
Plot info: {'Survey No.': '16/7', 'Total Area': '2.8600', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:08
Plot info: {'Survey No.': '16/7', 'Total Area': '2.8600', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:08
Plot info: {'Survey No.': '17/7', 'Total Area': '1.2800', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन (वि.पा.वि.महामंडळ नागपूर) कार्यकारी अभियंता प्रकल्\u200dप बांधकाम विभाग अमरावती', 'Khata No.': '13'}: 2024-08-05 18:15:09
