Opened the webpage: 2024-08-05 01:22:02
Page loaded: 2024-08-05 01:22:02
District folder '07 अमरावती' created or already exists: 2024-08-05 01:22:08
Taluka folder '02 चिखलदरा' created or already exists: 2024-08-05 01:22:09
Plot info: {'Survey No.': '1', 'Total Area': '0.0000', 'Pot kharaba': '8.4800', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:22:15
Plot info: {'Survey No.': '10', 'Total Area': '0.0000', 'Pot kharaba': '0.2900', 'Owner Name': 'म. शासन वनविभाग ढोर फोडी', 'Khata No.': '22'}: 2024-08-05 01:22:16
Plot info: {'Survey No.': '11', 'Total Area': '0.0000', 'Pot kharaba': '0.2900', 'Owner Name': 'म. शासन वनविभाग ढोर फोडी', 'Khata No.': '22'}: 2024-08-05 01:22:16
Plot info: {'Survey No.': '12', 'Total Area': '0.0000', 'Pot kharaba': '0.2200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:22:17
Plot info: {'Survey No.': '13', 'Total Area': '0.0000', 'Pot kharaba': '0.0400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:22:18
Plot info: {'Survey No.': '14', 'Total Area': '0.5100', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:19
Plot info: {'Survey No.': '15', 'Total Area': '0.9500', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:20
Plot info: {'Survey No.': '16', 'Total Area': '0.0000', 'Pot kharaba': '0.7700', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:22:21
Plot info: {'Survey No.': '17', 'Total Area': '0.1600', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:21
Plot info: {'Survey No.': '18', 'Total Area': '0.3500', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '32'}: 2024-08-05 01:22:22
Plot info: {'Survey No.': '19', 'Total Area': '0.8200', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:23
Plot info: {'Survey No.': '2', 'Total Area': '0.0000', 'Pot kharaba': '0.3300', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '32'}: 2024-08-05 01:22:24
Plot info: {'Survey No.': '20', 'Total Area': '0.7900', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:25
Plot info: {'Survey No.': '21', 'Total Area': '0.0000', 'Pot kharaba': '0.0600', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:26
Plot info: {'Survey No.': '22', 'Total Area': '0.7200', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:27
Plot info: {'Survey No.': '23', 'Total Area': '0.0700', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:27
Plot info: {'Survey No.': '24', 'Total Area': '0.9800', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:28
Plot info: {'Survey No.': '25', 'Total Area': '0.0000', 'Pot kharaba': '0.6600', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:29
Plot info: {'Survey No.': '26', 'Total Area': '0.4600', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:30
Plot info: {'Survey No.': '27', 'Total Area': '0.0000', 'Pot kharaba': '0.0600', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:31
Plot info: {'Survey No.': '28', 'Total Area': '0.0000', 'Pot kharaba': '0.1000', 'Owner Name': 'म. शासन वनविभाग खळवाडी', 'Khata No.': '29'}: 2024-08-05 01:22:32
Plot info: {'Survey No.': '29', 'Total Area': '0.0000', 'Pot kharaba': '0.1900', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:33
Plot info: {'Survey No.': '3', 'Total Area': '0.0000', 'Pot kharaba': '9.9200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:22:34
Plot info: {'Survey No.': '30', 'Total Area': '0.0000', 'Pot kharaba': '0.1400', 'Owner Name': 'म. शासनवनविभाग इमारत', 'Khata No.': '30'}: 2024-08-05 01:22:35
Plot info: {'Survey No.': '31', 'Total Area': '1.3300', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:36
Plot info: {'Survey No.': '32', 'Total Area': '0.0000', 'Pot kharaba': '0.5200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:22:37
Plot info: {'Survey No.': '33', 'Total Area': '0.4100', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:38
Plot info: {'Survey No.': '34', 'Total Area': '0.0000', 'Pot kharaba': '0.3600', 'Owner Name': 'वन विभाग', 'Khata No.': '31'}: 2024-08-05 01:22:38
Plot info: {'Survey No.': '35', 'Total Area': '0.0000', 'Pot kharaba': '0.2700', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:22:39
Plot info: {'Survey No.': '36', 'Total Area': '0.0000', 'Pot kharaba': '3.3400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग राखीव जंगल', 'Khata No.': '19'}: 2024-08-05 01:22:40
