Opened the webpage: 2024-08-05 00:06:30
Page loaded: 2024-08-05 00:06:30
District folder '07 अमरावती' created or already exists: 2024-08-05 00:06:36
Taluka folder '02 चिखलदरा' created or already exists: 2024-08-05 00:06:37
Plot info: {'Survey No.': '10', 'Total Area': '0.0000', 'Pot kharaba': '0.4500', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '37'}: 2024-08-05 00:06:43
Plot info: {'Survey No.': '11', 'Total Area': '2.4600', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:06:44
Plot info: {'Survey No.': '12', 'Total Area': '0.0000', 'Pot kharaba': '0.9100', 'Owner Name': 'महाराष्ट्र शासन वनविभाग नाला', 'Khata No.': '38'}: 2024-08-05 00:06:45
Plot info: {'Survey No.': '13', 'Total Area': '0.0000', 'Pot kharaba': '0.4200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '37'}: 2024-08-05 00:06:46
Plot info: {'Survey No.': '14', 'Total Area': '0.0000', 'Pot kharaba': '0.0400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग नाला', 'Khata No.': '38'}: 2024-08-05 00:06:47
Plot info: {'Survey No.': '15', 'Total Area': '0.0000', 'Pot kharaba': '0.3000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '37'}: 2024-08-05 00:06:47
Plot info: {'Survey No.': '16', 'Total Area': '0.0000', 'Pot kharaba': '0.0700', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '37'}: 2024-08-05 00:06:48
Plot info: {'Survey No.': '17', 'Total Area': '0.0000', 'Pot kharaba': '0.2500', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '37'}: 2024-08-05 00:06:49
Plot info: {'Survey No.': '18', 'Total Area': '0.0000', 'Pot kharaba': '11.7700', 'Owner Name': 'महाराष्\u200dट्र शासन ( गावठाण )', 'Khata No.': '57'}: 2024-08-05 00:06:50
Plot info: {'Survey No.': '19', 'Total Area': '0.0000', 'Pot kharaba': '1.0100', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '37'}: 2024-08-05 00:06:51
Plot info: {'Survey No.': '2', 'Total Area': '3.0800', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '55'}: 2024-08-05 00:06:52
Plot info: {'Survey No.': '20', 'Total Area': '0.0000', 'Pot kharaba': '0.3300', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '37'}: 2024-08-05 00:06:52
Plot info: {'Survey No.': '21', 'Total Area': '0.0000', 'Pot kharaba': '0.9200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '37'}: 2024-08-05 00:06:53
Plot info: {'Survey No.': '22', 'Total Area': '0.0000', 'Pot kharaba': '0.2800', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '37'}: 2024-08-05 00:06:54
Plot info: {'Survey No.': '23', 'Total Area': '1.4200', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:06:55
Plot info: {'Survey No.': '25', 'Total Area': '2.2200', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:06:56
Plot info: {'Survey No.': '26', 'Total Area': '3.6900', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:06:57
Plot info: {'Survey No.': '27', 'Total Area': '2.2800', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:06:58
Plot info: {'Survey No.': '28', 'Total Area': '2.2500', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:06:59
Plot info: {'Survey No.': '29', 'Total Area': '2.3400', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:00
Plot info: {'Survey No.': '3', 'Total Area': '6.6000', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:01
Plot info: {'Survey No.': '30/2', 'Total Area': '2.0000', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:02
Plot info: {'Survey No.': '31', 'Total Area': '0.0300', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:02
Plot info: {'Survey No.': '32', 'Total Area': '0.4200', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:03
Plot info: {'Survey No.': '33', 'Total Area': '0.9600', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:04
Plot info: {'Survey No.': '34', 'Total Area': '0.0800', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:05
Plot info: {'Survey No.': '35', 'Total Area': '0.0000', 'Pot kharaba': '0.1200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '37'}: 2024-08-05 00:07:06
Plot info: {'Survey No.': '36', 'Total Area': '0.3500', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:07
Plot info: {'Survey No.': '37', 'Total Area': '0.6100', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:08
Plot info: {'Survey No.': '38', 'Total Area': '0.0000', 'Pot kharaba': '1.1800', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '37'}: 2024-08-05 00:07:09
Plot info: {'Survey No.': '39', 'Total Area': '0.4400', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:10
Plot info: {'Survey No.': '4', 'Total Area': '3.8400', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:11
Plot info: {'Survey No.': '40', 'Total Area': '0.0000', 'Pot kharaba': '0.7800', 'Owner Name': 'महाराष्ट्र शासन वनविभाग नाला', 'Khata No.': '38'}: 2024-08-05 00:07:13
Plot info: {'Survey No.': '41', 'Total Area': '0.0000', 'Pot kharaba': '1.0200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '37'}: 2024-08-05 00:07:14
Plot info: {'Survey No.': '42', 'Total Area': '2.3900', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:15
Plot info: {'Survey No.': '43', 'Total Area': '1.5700', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:16
Plot info: {'Survey No.': '44', 'Total Area': '0.0000', 'Pot kharaba': '1.9700', 'Owner Name': 'महाराष्ट्र शासन वनविभाग व.ला.प', 'Khata No.': '56'}: 2024-08-05 00:07:17
Plot info: {'Survey No.': '45', 'Total Area': '0.3100', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:18
Plot info: {'Survey No.': '46', 'Total Area': '0.4700', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:19
Plot info: {'Survey No.': '47', 'Total Area': '0.7300', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:20
Plot info: {'Survey No.': '48', 'Total Area': '1.3100', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:22
Plot info: {'Survey No.': '49', 'Total Area': '0.0000', 'Pot kharaba': '0.0300', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '37'}: 2024-08-05 00:07:23
Plot info: {'Survey No.': '5', 'Total Area': '2.7800', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:24
Plot info: {'Survey No.': '50', 'Total Area': '0.8800', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:25
Plot info: {'Survey No.': '51', 'Total Area': '0.0000', 'Pot kharaba': '0.1600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '41'}: 2024-08-05 00:07:26
Plot info: {'Survey No.': '52', 'Total Area': '0.2500', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:27
Plot info: {'Survey No.': '53', 'Total Area': '0.0000', 'Pot kharaba': '0.0600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '37'}: 2024-08-05 00:07:29
Plot info: {'Survey No.': '54', 'Total Area': '0.8000', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:30
Plot info: {'Survey No.': '55', 'Total Area': '1.0000', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:31
Plot info: {'Survey No.': '56', 'Total Area': '1.5500', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '52'}: 2024-08-05 00:07:32
