Opened the webpage: 2024-08-05 00:16:48
Page loaded: 2024-08-05 00:16:48
District folder '07 अमरावती' created or already exists: 2024-08-05 00:16:55
Taluka folder '02 चिखलदरा' created or already exists: 2024-08-05 00:16:56
Plot info: {'Survey No.': '1', 'Total Area': '0.0000', 'Pot kharaba': '7.7200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग वाननदी', 'Khata No.': '27'}: 2024-08-05 00:17:02
Plot info: {'Survey No.': '10', 'Total Area': '0.0000', 'Pot kharaba': '0.4300', 'Owner Name': 'महाराष्ट्र शासन वनविभाग नाला', 'Khata No.': '31'}: 2024-08-05 00:17:02
Plot info: {'Survey No.': '11', 'Total Area': '0.0000', 'Pot kharaba': '0.3000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '28'}: 2024-08-05 00:17:03
Timeout waiting for plot info update on attempt 1/1: 2024-08-05 00:17:24
Plot info: {'Survey No.': '12', 'Total Area': '0.0000', 'Pot kharaba': '3.1200', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '36'}: 2024-08-05 00:17:24
Plot info: {'Survey No.': '14', 'Total Area': '0.0000', 'Pot kharaba': '2.6500', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '36'}: 2024-08-05 00:17:25
Plot info: {'Survey No.': '15', 'Total Area': '0.0000', 'Pot kharaba': '2.4100', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:17:26
Plot info: {'Survey No.': '16', 'Total Area': '0.0000', 'Pot kharaba': '2.5900', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:17:27
Plot info: {'Survey No.': '17', 'Total Area': '0.0000', 'Pot kharaba': '3.4900', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:17:28
Plot info: {'Survey No.': '18', 'Total Area': '0.0000', 'Pot kharaba': '4.9600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:17:29
Plot info: {'Survey No.': '19', 'Total Area': '0.0000', 'Pot kharaba': '4.2100', 'Owner Name': 'महाराष्टृ शासन वनविभाग', 'Khata No.': '39'}: 2024-08-05 00:17:30
Plot info: {'Survey No.': '2', 'Total Area': '0.0000', 'Pot kharaba': '2.8400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '28'}: 2024-08-05 00:17:30
