Opened the webpage: 2024-08-05 00:23:23
Page loaded: 2024-08-05 00:23:23
District folder '07 अमरावती' created or already exists: 2024-08-05 00:23:30
Taluka folder '02 चिखलदरा' created or already exists: 2024-08-05 00:23:30
Plot info: {'Survey No.': '1', 'Total Area': '1.0100', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:23:36
Plot info: {'Survey No.': '10', 'Total Area': '1.4600', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:23:37
Plot info: {'Survey No.': '11', 'Total Area': '0.7000', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:23:46
Plot info: {'Survey No.': '12', 'Total Area': '1.0000', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:23:56
Plot info: {'Survey No.': '13', 'Total Area': '0.0000', 'Pot kharaba': '7.3200', 'Owner Name': 'म. शासन वनविभाग जंगल', 'Khata No.': '18'}: 2024-08-05 00:24:07
Plot info: {'Survey No.': '14', 'Total Area': '1.1200', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:24:18
Plot info: {'Survey No.': '15', 'Total Area': '0.5800', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:24:30
Plot info: {'Survey No.': '16', 'Total Area': '0.0000', 'Pot kharaba': '0.9700', 'Owner Name': 'म. शासन गावठान', 'Khata No.': '17'}: 2024-08-05 00:24:43
Plot info: {'Survey No.': '17', 'Total Area': '0.8100', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:24:56
Plot info: {'Survey No.': '18', 'Total Area': '0.2200', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:25:11
Plot info: {'Survey No.': '19', 'Total Area': '0.5200', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:25:23
Plot info: {'Survey No.': '2', 'Total Area': '3.8700', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:25:25
Plot info: {'Survey No.': '20', 'Total Area': '0.5400', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:25:26
Plot info: {'Survey No.': '21', 'Total Area': '0.5200', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:25:27
Plot info: {'Survey No.': '22', 'Total Area': '0.3600', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:25:29
Plot info: {'Survey No.': '23', 'Total Area': '0.0900', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:25:30
Plot info: {'Survey No.': '24', 'Total Area': '0.0000', 'Pot kharaba': '0.9500', 'Owner Name': 'म. शासन वनविभाग जंगल', 'Khata No.': '18'}: 2024-08-05 00:25:32
Plot info: {'Survey No.': '25', 'Total Area': '2.1500', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:25:33
Plot info: {'Survey No.': '26', 'Total Area': '1.3900', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:25:35
Plot info: {'Survey No.': '27', 'Total Area': '0.0000', 'Pot kharaba': '0.2100', 'Owner Name': 'महाराष्ट्र शासन वनविभाग मार्ग', 'Khata No.': '16'}: 2024-08-05 00:25:36
Plot info: {'Survey No.': '29', 'Total Area': '3.2600', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:25:38
Plot info: {'Survey No.': '3', 'Total Area': '1.2800', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:25:39
Plot info: {'Survey No.': '30', 'Total Area': '1.0600', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:25:40
Plot info: {'Survey No.': '31', 'Total Area': '2.1300', 'Pot kharaba': '0.0000', 'Owner Name': 'वन विभाग', 'Khata No.': '30'}: 2024-08-05 00:25:42
