Opened the webpage: 2024-08-05 00:41:01
Page loaded: 2024-08-05 00:41:01
District folder '07 अमरावती' created or already exists: 2024-08-05 00:41:08
Taluka folder '02 चिखलदरा' created or already exists: 2024-08-05 00:41:09
Plot info: {'Survey No.': '1', 'Total Area': '0.0000', 'Pot kharaba': '1.8200', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '28'}: 2024-08-05 00:41:15
Plot info: {'Survey No.': '10', 'Total Area': '0.0000', 'Pot kharaba': '2.5400', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभा्ग', 'Khata No.': '36'}: 2024-08-05 00:41:16
Plot info: {'Survey No.': '11', 'Total Area': '0.0000', 'Pot kharaba': '3.1100', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '34'}: 2024-08-05 00:41:16
Plot info: {'Survey No.': '12', 'Total Area': '0.0000', 'Pot kharaba': '2.9300', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '38'}: 2024-08-05 00:41:17
Plot info: {'Survey No.': '13', 'Total Area': '0.0000', 'Pot kharaba': '1.2900', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '23'}: 2024-08-05 00:41:18
Plot info: {'Survey No.': '14', 'Total Area': '0.0000', 'Pot kharaba': '1.8100', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभा्ग', 'Khata No.': '33'}: 2024-08-05 00:41:19
Plot info: {'Survey No.': '15', 'Total Area': '0.0000', 'Pot kharaba': '3.8800', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '28'}: 2024-08-05 00:41:20
Plot info: {'Survey No.': '16', 'Total Area': '0.0000', 'Pot kharaba': '0.4600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '23'}: 2024-08-05 00:41:21
Plot info: {'Survey No.': '17', 'Total Area': '0.0000', 'Pot kharaba': '0.7000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग नाला', 'Khata No.': '24'}: 2024-08-05 00:41:21
Plot info: {'Survey No.': '18', 'Total Area': '0.0000', 'Pot kharaba': '3.0400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '23'}: 2024-08-05 00:41:22
Plot info: {'Survey No.': '19', 'Total Area': '0.0000', 'Pot kharaba': '2.0600', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '39'}: 2024-08-05 00:41:23
Plot info: {'Survey No.': '2', 'Total Area': '0.0000', 'Pot kharaba': '0.3500', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '23'}: 2024-08-05 00:41:24
Plot info: {'Survey No.': '20', 'Total Area': '0.0000', 'Pot kharaba': '0.8100', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '23'}: 2024-08-05 00:41:25
Plot info: {'Survey No.': '21', 'Total Area': '0.0000', 'Pot kharaba': '0.7800', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '25'}: 2024-08-05 00:41:26
Plot info: {'Survey No.': '22', 'Total Area': '0.0000', 'Pot kharaba': '6.4300', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '32'}: 2024-08-05 00:41:27
Plot info: {'Survey No.': '23', 'Total Area': '0.0000', 'Pot kharaba': '0.2000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग नाला', 'Khata No.': '24'}: 2024-08-05 00:41:27
Plot info: {'Survey No.': '24', 'Total Area': '0.0000', 'Pot kharaba': '0.2000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '23'}: 2024-08-05 00:41:28
Plot info: {'Survey No.': '25', 'Total Area': '0.0000', 'Pot kharaba': '0.3500', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '23'}: 2024-08-05 00:41:29
Plot info: {'Survey No.': '26', 'Total Area': '0.0000', 'Pot kharaba': '0.6400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '25'}: 2024-08-05 00:41:30
Plot info: {'Survey No.': '27', 'Total Area': '0.0000', 'Pot kharaba': '0.2100', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '23'}: 2024-08-05 00:41:31
Plot info: {'Survey No.': '28', 'Total Area': '0.0000', 'Pot kharaba': '4.3300', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '42'}: 2024-08-05 00:41:32
Plot info: {'Survey No.': '29', 'Total Area': '0.0000', 'Pot kharaba': '6.8200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग वाननदी', 'Khata No.': '27'}: 2024-08-05 00:41:33
Plot info: {'Survey No.': '3', 'Total Area': '0.0000', 'Pot kharaba': '3.5100', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभा्ग', 'Khata No.': '31'}: 2024-08-05 00:41:34
Plot info: {'Survey No.': '30', 'Total Area': '0.0000', 'Pot kharaba': '4.1200', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '40'}: 2024-08-05 00:41:35
Plot info: {'Survey No.': '31', 'Total Area': '0.0000', 'Pot kharaba': '4.4700', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '28'}: 2024-08-05 00:41:35
Plot info: {'Survey No.': '32', 'Total Area': '0.0000', 'Pot kharaba': '3.8700', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '41'}: 2024-08-05 00:41:36
Plot info: {'Survey No.': '33', 'Total Area': '0.0000', 'Pot kharaba': '0.5600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '23'}: 2024-08-05 00:41:37
Plot info: {'Survey No.': '34', 'Total Area': '0.0000', 'Pot kharaba': '35.5600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '23'}: 2024-08-05 00:41:38
Plot info: {'Survey No.': '35', 'Total Area': '0.0000', 'Pot kharaba': '4.8400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '23'}: 2024-08-05 00:41:39
Plot info: {'Survey No.': '36', 'Total Area': '0.0000', 'Pot kharaba': '3.1400', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभा्ग', 'Khata No.': '33'}: 2024-08-05 00:41:40
Plot info: {'Survey No.': '37', 'Total Area': '0.0000', 'Pot kharaba': '0.4000', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '34'}: 2024-08-05 00:41:41
Plot info: {'Survey No.': '38', 'Total Area': '0.0000', 'Pot kharaba': '3.1000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '42'}: 2024-08-05 00:41:42
Plot info: {'Survey No.': '39', 'Total Area': '0.0000', 'Pot kharaba': '0.3400', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '25'}: 2024-08-05 00:41:43
Plot info: {'Survey No.': '4', 'Total Area': '0.0000', 'Pot kharaba': '3.6400', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '34'}: 2024-08-05 00:41:44
Plot info: {'Survey No.': '40', 'Total Area': '0.0000', 'Pot kharaba': '0.2600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '25'}: 2024-08-05 00:41:45
Plot info: {'Survey No.': '41', 'Total Area': '0.0000', 'Pot kharaba': '1.4000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '23'}: 2024-08-05 00:41:46
Plot info: {'Survey No.': '42', 'Total Area': '0.0000', 'Pot kharaba': '0.2800', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '25'}: 2024-08-05 00:41:47
Plot info: {'Survey No.': '43', 'Total Area': '0.0000', 'Pot kharaba': '2.2800', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '35'}: 2024-08-05 00:41:48
Plot info: {'Survey No.': '5', 'Total Area': '0.0000', 'Pot kharaba': '3.3800', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभा्ग', 'Khata No.': '36'}: 2024-08-05 00:41:49
Plot info: {'Survey No.': '6', 'Total Area': '0.0000', 'Pot kharaba': '3.5300', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '34'}: 2024-08-05 00:41:50
Plot info: {'Survey No.': '7', 'Total Area': '0.0000', 'Pot kharaba': '2.3300', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभा्ग', 'Khata No.': '33'}: 2024-08-05 00:41:51
Plot info: {'Survey No.': '8/1', 'Total Area': '0.0000', 'Pot kharaba': '1.0000', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभा्ग', 'Khata No.': '33'}: 2024-08-05 00:41:52
Timeout waiting for plot info update on attempt 1/1: 2024-08-05 00:42:12
Plot info: {'Survey No.': '9', 'Total Area': '0.0000', 'Pot kharaba': '2.0500', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभा्ग', 'Khata No.': '33'}: 2024-08-05 00:42:13
Village '270700020065690000 धारगड' processed: 2024-08-05 00:42:13
Time taken for village '270700020065690000 धारगड': 0:01:15.847070: 2024-08-05 00:42:13
Script completed for village '270700020065690000 धारगड': 2024-08-05 00:42:15
