Opened the webpage: 2024-08-05 00:41:43
Page loaded: 2024-08-05 00:41:43
District folder '07 अमरावती' created or already exists: 2024-08-05 00:41:49
Taluka folder '02 चिखलदरा' created or already exists: 2024-08-05 00:41:50
Plot info: {'Survey No.': '1', 'Total Area': '0.0000', 'Pot kharaba': '27.1200', 'Owner Name': 'महाराष्ट्र शासन वनविभाग नदी', 'Khata No.': '11'}: 2024-08-05 00:41:55
Plot info: {'Survey No.': '10', 'Total Area': '0.0000', 'Pot kharaba': '1.4800', 'Owner Name': 'महाराष्ट्र शासन वनविभाग पडीत', 'Khata No.': '14'}: 2024-08-05 00:41:56
Plot info: {'Survey No.': '11', 'Total Area': '0.0000', 'Pot kharaba': '2.4000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '23'}: 2024-08-05 00:41:57
Plot info: {'Survey No.': '12/2', 'Total Area': '0.0000', 'Pot kharaba': '1.9500', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '21'}: 2024-08-05 00:41:58
Plot info: {'Survey No.': '13', 'Total Area': '0.0000', 'Pot kharaba': '0.1800', 'Owner Name': 'महाराष्ट्र शासन वनविभाग नाला', 'Khata No.': '13'}: 2024-08-05 00:41:58
Plot info: {'Survey No.': '14', 'Total Area': '0.0000', 'Pot kharaba': '0.4500', 'Owner Name': 'महाराष्ट्र शासन वनविभाग व.ला.प.जंगल', 'Khata No.': '15'}: 2024-08-05 00:41:59
Plot info: {'Survey No.': '15', 'Total Area': '0.0000', 'Pot kharaba': '82.8000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग जंगल', 'Khata No.': '12'}: 2024-08-05 00:42:00
Plot info: {'Survey No.': '16', 'Total Area': '0.0000', 'Pot kharaba': '1.3600', 'Owner Name': 'महाराष्ट्र शासन वनविभाग रस्ता', 'Khata No.': '16'}: 2024-08-05 00:42:01
Plot info: {'Survey No.': '17', 'Total Area': '0.0000', 'Pot kharaba': '0.9600', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '21'}: 2024-08-05 00:42:01
Plot info: {'Survey No.': '18', 'Total Area': '0.0000', 'Pot kharaba': '0.0600', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '21'}: 2024-08-05 00:42:02
Plot info: {'Survey No.': '19', 'Total Area': '0.0000', 'Pot kharaba': '0.1000', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '24'}: 2024-08-05 00:42:03
Plot info: {'Survey No.': '2', 'Total Area': '0.0000', 'Pot kharaba': '4.4000', 'Owner Name': 'महाराष्\u200dट्र शासन वनविभाग', 'Khata No.': '21'}: 2024-08-05 00:42:04
Plot info: {'Survey No.': '20', 'Total Area': '0.0000', 'Pot kharaba': '0.1200', 'Owner Name': 'महाराष्ट्र शासन महसुल विभाग', 'Khata No.': '17'}: 2024-08-05 00:42:04
Plot info: {'Survey No.': '21', 'Total Area': '0.0000', 'Pot kharaba': '0.6800', 'Owner Name': 'महाराष्ट्र शासन आबादी', 'Khata No.': '18'}: 2024-08-05 00:42:05
