Opened the webpage: 2024-08-05 09:46:23
Page loaded: 2024-08-05 09:46:23
District folder '07 अमरावती' created or already exists: 2024-08-05 09:46:29
Taluka folder '01 धारणी' created or already exists: 2024-08-05 09:46:30
Plot info: {'Survey No.': '1', 'Total Area': '0.0000', 'Pot kharaba': '48.9900', 'Owner Name': 'महाराष्ट्र शासन', 'Khata No.': '54'}: 2024-08-05 09:46:36
Plot info: {'Survey No.': '10', 'Total Area': '0.0000', 'Pot kharaba': '5.6900', 'Owner Name': 'महाराष्ट्र शासन', 'Khata No.': '54'}: 2024-08-05 09:46:37
Plot info: {'Survey No.': '11', 'Total Area': '1.0500', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:46:40
Plot info: {'Survey No.': '12', 'Total Area': '0.6100', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:46:41
Plot info: {'Survey No.': '13', 'Total Area': '3.6800', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:46:42
Plot info: {'Survey No.': '14', 'Total Area': '0.0000', 'Pot kharaba': '209.1300', 'Owner Name': 'महाराष्ट्र शासन', 'Khata No.': '54'}: 2024-08-05 09:46:43
Plot info: {'Survey No.': '15/अ', 'Total Area': '4.0400', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:46:43
Plot info: {'Survey No.': '15/अ', 'Total Area': '4.0400', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:46:45
Plot info: {'Survey No.': '17', 'Total Area': '6.1200', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:46:46
Plot info: {'Survey No.': '2', 'Total Area': '2.1400', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:46:47
Plot info: {'Survey No.': '20', 'Total Area': '4.7100', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:46:47
Plot info: {'Survey No.': '21/अ', 'Total Area': '1.1700', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:46:48
Plot info: {'Survey No.': '21/अ', 'Total Area': '1.1700', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:46:49
Plot info: {'Survey No.': '22', 'Total Area': '4.1300', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन', 'Khata No.': '54'}: 2024-08-05 09:46:50
Plot info: {'Survey No.': '24', 'Total Area': '3.2500', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:46:51
Plot info: {'Survey No.': '25', 'Total Area': '3.9300', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:46:53
Plot info: {'Survey No.': '26', 'Total Area': '0.0000', 'Pot kharaba': '0.7900', 'Owner Name': 'महाराष्ट्र शासन', 'Khata No.': '54'}: 2024-08-05 09:46:54
Plot info: {'Survey No.': '27', 'Total Area': '0.0000', 'Pot kharaba': '1.4400', 'Owner Name': 'महाराष्ट्र शासन', 'Khata No.': '54'}: 2024-08-05 09:46:55
Plot info: {'Survey No.': '28', 'Total Area': '0.0000', 'Pot kharaba': '0.2200', 'Owner Name': 'महाराष्ट्र शासन', 'Khata No.': '54'}: 2024-08-05 09:46:56
Plot info: {'Survey No.': '29', 'Total Area': '0.0000', 'Pot kharaba': '0.3600', 'Owner Name': 'महाराष्ट्र शासन', 'Khata No.': '54'}: 2024-08-05 09:46:57
Plot info: {'Survey No.': '3', 'Total Area': '1.2000', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:46:58
Plot info: {'Survey No.': '30', 'Total Area': '0.0000', 'Pot kharaba': '2.2100', 'Owner Name': 'महाराष्ट्र शासन', 'Khata No.': '54'}: 2024-08-05 09:46:59
Plot info: {'Survey No.': '31', 'Total Area': '3.3500', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:47:00
Plot info: {'Survey No.': '32', 'Total Area': '5.4500', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:47:01
Plot info: {'Survey No.': '33', 'Total Area': '0.0000', 'Pot kharaba': '31.7700', 'Owner Name': 'महाराष्ट्र शासन', 'Khata No.': '54'}: 2024-08-05 09:47:02
Plot info: {'Survey No.': '34', 'Total Area': '4.4400', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:47:03
Plot info: {'Survey No.': '36/अ', 'Total Area': '1.3400', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:47:04
Plot info: {'Survey No.': '36/अ', 'Total Area': '1.3400', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:47:05
Plot info: {'Survey No.': '38/अ', 'Total Area': '4.7200', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:47:06
Plot info: {'Survey No.': '39', 'Total Area': '4.6400', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:47:07
Plot info: {'Survey No.': '39', 'Total Area': '4.6400', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:47:08
Plot info: {'Survey No.': '4', 'Total Area': '0.5200', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:47:09
Plot info: {'Survey No.': '41', 'Total Area': '1.3400', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:47:11
Plot info: {'Survey No.': '42', 'Total Area': '5.7900', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:47:12
Plot info: {'Survey No.': '43', 'Total Area': '6.6700', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:47:13
Plot info: {'Survey No.': '45', 'Total Area': '0.0000', 'Pot kharaba': '0.6900', 'Owner Name': 'मध्यवर्ती सरकार रेल्वे विभाग', 'Khata No.': '62'}: 2024-08-05 09:47:14
Plot info: {'Survey No.': '46', 'Total Area': '0.0000', 'Pot kharaba': '2.3100', 'Owner Name': 'महाराष्ट्र शासन', 'Khata No.': '54'}: 2024-08-05 09:47:15
Plot info: {'Survey No.': '47/अ', 'Total Area': '4.3600', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:47:16
Plot info: {'Survey No.': '47/अ', 'Total Area': '4.3600', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:47:17
Plot info: {'Survey No.': '48', 'Total Area': '1.5000', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन', 'Khata No.': '54'}: 2024-08-05 09:47:18
Plot info: {'Survey No.': '49', 'Total Area': '0.0000', 'Pot kharaba': '1.8600', 'Owner Name': 'महाराष्ट्र शासन', 'Khata No.': '54'}: 2024-08-05 09:47:19
Plot info: {'Survey No.': '50', 'Total Area': '0.9600', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:47:21
Plot info: {'Survey No.': '52', 'Total Area': '0.0000', 'Pot kharaba': '0.4800', 'Owner Name': 'महाराष्ट्र शासन', 'Khata No.': '54'}: 2024-08-05 09:47:22
Plot info: {'Survey No.': '53', 'Total Area': '0.0000', 'Pot kharaba': '2.5500', 'Owner Name': 'महाराष्ट्र शासन', 'Khata No.': '54'}: 2024-08-05 09:47:23
Plot info: {'Survey No.': '54', 'Total Area': '0.0000', 'Pot kharaba': '1.0700', 'Owner Name': 'महाराष्ट्र शासन', 'Khata No.': '54'}: 2024-08-05 09:47:24
Plot info: {'Survey No.': '55', 'Total Area': '0.7900', 'Pot kharaba': '0.0000', 'Owner Name': 'महाराष्ट्र शासन वनविभाग', 'Khata No.': '63'}: 2024-08-05 09:47:25
